FIELD	srpk3_hom_ttnb_het_1	srpk3_hom_ttnb_het_10	srpk3_hom_ttnb_het_2	srpk3_hom_ttnb_het_7	srpk3_hom_ttnb_het_8	srpk3_hom_ttnb_het_9	srpk3_hom_ttnb_wt_1	srpk3_hom_ttnb_wt_4	srpk3_hom_ttnb_wt_5	srpk3_hom_ttnb_wt_6	srpk3_hom_ttnb_wt_7	srpk3_hom_ttnb_wt_8	srpk3_wt_ttnb_het_1	srpk3_wt_ttnb_het_2	srpk3_wt_ttnb_het_3	srpk3_wt_ttnb_het_7	srpk3_wt_ttnb_het_8	srpk3_wt_ttnb_het_9	srpk3_wt_ttnb_wt_2	srpk3_wt_ttnb_wt_3	srpk3_wt_ttnb_wt_4	srpk3_wt_ttnb_wt_5	srpk3_wt_ttnb_wt_6	srpk3_wt_ttnb_wt_7
minObservedReadLength	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
maxObservedReadLength	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
maxLegalPhredScore	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41
IS_SINGLE_END	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREALIGNMENT_READ_CT	17338627	20543866	25322425	20435313	15691480	21660429	20239671	18506828	15424551	27374321	20874599	15646593	18650541	17241717	13824852	26051158	20810106	26519342	16495850	20155686	28508054	18900316	28842829	26415127
BENCHMARK_MinutesOnSamIteration	53.15	50.83	64.87	51.48	47.43	72.03	48.55	46.32	37.75	58.07	44.43	33.87	39.6	36.18	29.4	54.5	43.85	55.25	36	42.87	63.07	42.87	60.65	56.15
BENCHMARK_MinutesPerMillionReads	3.5	2.83	2.94	2.9	3.5	3.8	2.75	2.88	2.8	2.44	2.45	2.48	2.42	2.43	2.44	2.39	2.44	2.37	2.49	2.44	2.54	2.62	2.44	2.43
BENCHMARK_MinutesPerMillionGoodReads	3.66	2.97	3.07	3.05	3.67	3.97	2.88	3.02	2.93	2.56	2.56	2.59	2.53	2.54	2.56	2.5	2.55	2.48	2.61	2.55	2.66	2.74	2.56	2.55
ReadPairs_AmbigGene	158857	196361	234890	188156	155053	203036	185766	178796	146083	257750	205837	152375	159722	156931	131368	266125	180553	233443	153724	176532	277924	186133	281033	264498
ReadPairs_UniqueGene	12292194	14637648	18074734	14309909	11011734	15424560	14395666	12940925	10999722	19288090	14668084	11041619	13352308	12040934	9804671	18684707	14584365	18903459	11726387	14238801	20069588	13316839	20106353	18801821
ReadPairs_UniqueGene_CDS	10000139	11977990	14709277	11629853	8875598	12541463	11760739	10469416	8966942	15673990	11929870	8956488	10894634	9785821	7993562	14781284	11830886	15305848	9561698	11483197	16266753	10895783	16356188	15256013
ReadPairs_UniqueGene_UTR	2292055	2659658	3365457	2680056	2136136	2883097	2634927	2471509	2032780	3614100	2738214	2085131	2457674	2255113	1811109	3903423	2753479	3597611	2164689	2755604	3802835	2421056	3750165	3545808
ReadPairs_NoGene	2057420	2293643	2804221	2368273	1764719	2512262	2290291	2206524	1742208	3158207	2454445	1861495	2142044	2022082	1570145	2824460	2406168	3122180	1928628	2375367	3332932	2123498	3328059	2991442
ReadPairs_NoGene_Intron	438210	483755	572442	513895	350617	525607	475113	467418	358589	664319	532366	398426	445182	435513	321173	501144	508826	654608	412766	500600	705959	455236	743372	626237
ReadPairs_NoGene_OneKbFromGene	348978	398233	482809	402428	301108	426811	390072	369402	298988	545213	421477	316599	365066	335186	263956	489374	406972	524568	324835	405492	576263	359225	571792	512101
ReadPairs_NoGene_TenKbFromGene	957914	1058949	1340647	1080263	836832	1184059	1081048	1024091	829162	1470975	1145453	862286	1007188	922112	730437	1415077	1096774	1473469	890225	1137037	1550813	969021	1537686	1436121
ReadPairs_NoGene_MiddleOfNowhere	312318	352706	408323	371687	276162	375785	344058	345613	255469	477700	355149	284184	324608	329271	254579	418865	393596	469535	300802	332238	499897	340016	475209	416983
Genes_Total	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020	32020
Genes_WithZeroCounts	7492	7426	7199	7467	7838	7375	7401	7616	7850	7107	7497	7893	7563	7673	8046	7426	7470	7223	7877	7543	7186	7724	7112	7282
Genes_WithNonzeroCounts	24528	24594	24821	24553	24182	24645	24619	24404	24170	24913	24523	24127	24457	24347	23974	24594	24550	24797	24143	24477	24834	24296	24908	24738
InsertSizeCalc_Kept	13683572	16154664	20040056	15944493	12154976	17275613	15964826	14521688	12169679	21427261	16345050	12304706	14805953	13379614	10875597	20550952	16068410	21174972	13031824	15875529	22395256	14710469	22316512	20943010
InsertSizeCalc_lt_readLen	200640	235001	270612	225077	187308	216459	223618	202006	200454	312364	242705	192519	208366	228805	153140	300023	258876	269254	191447	220873	321437	220100	339538	281751
InsertSizeCalc_eq_readLen	52993	61920	71356	59632	49138	58153	59387	53242	46225	83229	64418	49112	55411	54230	40529	79731	68409	72742	50624	58578	84825	58019	89256	74915
InsertSizeCalc_readLen_to_2xreadLen	8738057	10418128	12537086	10128052	7948403	10520302	10167066	9245667	7604294	13755804	10610696	8047484	9315110	8643141	6937455	13193306	10536960	13026500	8423864	9842552	14410866	9486453	14569050	12961218
InsertSizeCalc_ge_2xreadLen	4691882	5439615	7161002	5531732	3970127	6480699	5514755	5020773	4318706	7275864	5427231	4015591	5227066	4453438	3744473	6977892	5204165	7806476	4365889	5753526	7578128	4945897	7318668	7625126
InsertSizeCalc_Drop_TOTAL	824899	972988	1073789	921845	776530	864245	906897	804557	718334	1276786	983316	750783	848121	840333	630587	1224340	1102676	1084110	776915	915171	1285188	916001	1398933	1114751
InsertSizeCalc_Drop_REASON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InsertSizeCalc_Drop_REASON2	109553	133968	158094	128156	101810	129668	130280	112936	97148	175229	135223	100783	118448	110461	86940	166055	136948	158718	106465	122667	181149	122906	188073	163251
InsertSizeCalc_Drop_REASON3	715346	839020	915695	793689	674720	734577	776617	691621	621186	1101557	848093	650000	729673	729872	543647	1058285	965728	925392	670450	792504	1104039	793095	1210860	951500
AVG_GC_R1	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
AVG_GC_R2	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48
AVG_GC	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.48	0.47	0.47
AggregateGenes	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010	31010
AggregateGenes_NoReads	7003	6947	6731	6979	7339	6894	6911	7134	7350	6634	7014	7375	7066	7172	7528	6943	6989	6759	7368	7059	6717	7238	6652	6803
AggregateGenes_WithReads	24007	24063	24279	24031	23671	24116	24099	23876	23660	24376	23996	23635	23944	23838	23482	24067	24021	24251	23642	23951	24293	23772	24358	24207
SpliceLoci	348517	358621	364214	357206	338763	355477	354584	351303	336872	377185	355891	341451	346134	345514	333291	356606	354960	371003	343863	351484	375833	351426	373686	365706
SpliceLoci_Known	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141	253141
SpliceLoci_Known_NoReads	52442	50962	49462	51191	57701	50906	51528	52793	56016	48140	51803	55579	52698	54071	58173	56010	51709	48964	54878	52789	48682	53077	48553	50327
SpliceLoci_Known_FewReads	28627	25999	24403	26681	35547	25801	27741	28677	32828	22253	25937	31095	28889	30582	35160	32295	26718	22890	30065	27520	21097	27764	21958	24357
SpliceLoci_Known_ManyReads	172072	176180	179276	175269	159893	176434	173872	171671	164297	182748	175401	166467	171554	168488	159808	164836	174714	181287	168198	172832	183362	172300	182630	178457
SpliceLoci_Novel	95376	105480	111073	104065	85622	102336	101443	98162	83731	124044	102750	88310	92993	92373	80150	103465	101819	117862	90722	98343	122692	98285	120545	112565
SpliceLoci_Novel_FewReads	71702	79414	82674	78652	65292	76555	76279	74158	63104	92534	76454	66808	69872	69746	61131	78462	76105	88028	68352	73775	91286	74287	88976	84281
SpliceLoci_Novel_ManyReads	23674	26066	28399	25413	20330	25781	25164	24004	20627	31510	26296	21502	23121	22627	19019	25003	25714	29834	22370	24568	31406	23998	31569	28284
SpliceEvents	14235470	17177795	21265376	16619458	12606945	18176197	16939727	15008249	12924806	22269258	16898458	12673883	15660931	13879687	11486755	21382919	16689333	22104329	13695891	16352081	23165797	15599841	23034415	22031820
SpliceEvents_KnownLoci	13624545	16441133	20401713	15905632	12063080	17430643	16232951	14341365	12392580	21298750	16145824	12115761	15041060	13291415	11007664	20544151	15990063	21191678	13119947	15682412	22182320	14929874	22040047	21123551
SpliceEvents_KnownLociWithFewReads	53988	49113	45903	50220	66965	48418	52366	54081	62335	41629	48802	58669	54655	57863	67009	60268	50510	42733	56770	51853	39007	52407	41116	45742
SpliceEvents_KnownLociWithManyReads	13570557	16392020	20355810	15855412	11996115	17382225	16180585	14287284	12330245	21257121	16097022	12057092	14986405	13233552	10940655	20483883	15939553	21148945	13063177	15630559	22143313	14877467	21998931	21077809
SpliceEvents_NovelLoci	610925	736662	863663	713826	543865	745554	706776	666884	532226	970508	752634	558122	619871	588272	479091	838768	699270	912651	575944	669669	983477	669967	994368	908269
SpliceEvents_NovelLociWithFewReads	100429	111100	116258	109433	91770	106727	107490	103721	89272	129264	107281	93972	97828	98092	86346	110204	107824	122721	96484	103143	127735	103712	125962	117689
SpliceEvents_NovelLociWithManyReads	510496	625562	747405	604393	452095	638827	599286	563163	442954	841244	645353	464150	522043	490180	392745	728564	591446	789930	479460	566526	855742	566255	868406	790580
StrandTest_frFirstStrand	12043261	14344652	17707371	14028161	10807885	15095224	14090259	12683740	10772712	18906515	14389732	10834456	13059254	11805274	9603246	18332880	14291804	18487049	11493621	13931560	19685114	13056652	19736151	18443391
StrandTest_frSecondStrand	51753	66768	64011	63334	53582	51223	63806	59895	41008	89861	59652	49939	44672	53853	44647	75154	61980	71195	53028	52741	79728	61985	80186	62877
StrandTest_ambig_genesFountOnBothStrands	257205	318934	391254	293336	238314	338335	322834	277418	244707	407356	304452	227809	294800	252453	221261	433524	308241	413141	247601	307219	422016	293826	413586	397938
StrandTest_ambig_noGenes	2155487	2396485	2950167	2480641	1831122	2654124	2394002	2304443	1829058	3299259	2573720	1942680	2254610	2107729	1636567	2932777	2508320	3286593	2013878	2498381	3492473	2213281	3484524	3152454
StrandTest_ambig_other	765	813	1042	866	603	952	822	749	528	1056	810	605	738	638	463	957	741	1104	611	799	1113	726	998	1101
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NumberOfChromosomesCovered	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
deletionLoci	118975	133250	150409	133241	128016	133312	127817	125721	105286	162656	134598	111771	119924	115885	98515	149158	131173	160799	113759	129122	168330	124321	162491	153449
insertionLoci	90822	101592	114864	102029	84757	103954	98770	97214	80622	123716	104078	87236	90736	89341	75682	112436	99037	122265	88976	98405	126354	94728	123632	118613
deletionEventCt	473287	573536	701259	547479	471820	610347	536821	515569	414440	754037	577493	439418	495736	463907	384998	787606	558898	756768	456437	562229	810972	511472	781857	749665
insertionEventCt	299715	363977	443919	364234	281697	379124	353896	336740	263006	478235	368587	285695	324090	299422	240127	493054	360057	482805	289067	351824	501765	327493	475769	459843
highCoverageDeletionLoci	13771	15771	18652	15301	12677	16711	15268	14896	12248	19777	16149	13053	14356	13458	11116	18945	15718	19902	13371	15741	20969	14442	20159	19606
highCoverageInsertionLoci	9495	11286	13770	11051	8659	11855	10958	10481	8426	14861	11636	8931	10032	9311	7462	14652	11401	15074	9086	11309	15604	10059	14796	14358
PAIR_CONTAINS_DEL	454880	551881	673351	527903	453237	586074	516073	495331	398733	725873	555300	422380	476380	446231	371193	755380	537397	726632	438990	540677	779797	492522	753029	719562
PAIR_CONTAINS_INS	340574	415776	517481	415066	322412	438604	406055	385230	302567	548485	420057	320492	370621	345719	273092	570297	404609	549548	330922	410578	577987	372984	558779	536176
PAIR_CONTAINS_INS_AND_DEL	24181	28493	36350	28344	22887	31590	28046	26869	21293	38643	28996	22467	25154	23110	19443	40725	28024	38182	23555	29231	40250	25785	38764	37872
PAIR_CONTAINS_INDEL	771273	939164	1154482	914625	752762	993088	894082	853692	680007	1235715	946361	720405	821847	768840	624842	1284952	913982	1237998	746357	922024	1317534	839721	1273044	1217866
PAIR_CONTAINS_NO_INDEL	13737198	16188488	19959363	15951713	12178744	17146770	15977641	14472553	12208006	21468332	16382005	12335084	14832227	13451107	10881342	20490340	16257104	21021084	13062382	15868676	22362910	14786749	22442401	20839895
READ_CONTAINS_DEL_R1	310286	376621	466832	362364	305020	412121	355698	339455	272673	497826	376754	284998	327571	299473	253616	515496	358103	507906	298911	373128	534006	332600	509575	501757
READ_CONTAINS_INS_R1	243965	297656	378014	298766	229080	323853	294353	276782	218404	393155	300339	226702	268541	245680	195435	408238	282821	402838	237189	299119	415182	264289	398067	393275
READ_CONTAINS_NO_INDEL_R1	13967376	16468863	20289161	16220521	12409825	17422019	16237224	14724742	12408727	21834337	16667060	12555845	15071969	13687287	11067480	20873573	16544893	21370071	13285425	16134661	22753089	15043396	22828781	21184223
READ_CONTAINS_DEL_R2	144594	175260	206519	165539	148217	173953	160375	155876	126060	228047	178546	137382	148809	146758	117577	239884	179294	218726	140079	167549	245791	159922	243454	217805
READ_CONTAINS_INS_R2	96609	118120	139467	116300	93332	114751	111702	108448	84163	155330	119718	93790	102080	100039	77657	162059	121788	146710	93733	111459	162805	108695	160712	142901
READ_CONTAINS_NO_INDEL_R2	14270831	16838518	20772949	16588679	12693419	17855387	16603660	15065797	12680842	22326375	17034368	12827926	15406667	13976662	11313888	21379372	16874456	21898886	13578475	16515872	23277788	15361843	23317146	21702255
NO_REF_BASE_SWAP_R1	8097271	9240648	11662926	9268629	6918295	10022222	9330140	8332123	7225370	12366096	9434595	7060703	8789564	7893066	6336283	11922054	9569664	12192554	7682798	9374048	12862035	8507673	13199878	12161737
HAS_REF_BASE_SWAP_R1	6411200	7887004	9450919	7597709	6013211	8117636	7541583	6994122	5662643	10337951	7893771	5994786	6864510	6326881	5169901	9853238	7601422	10066528	6125941	7416652	10818409	7118797	10515567	9896024
NO_REF_BASE_SWAP_R2	7162993	8119132	9865876	8082646	5965853	8410645	8041484	7174735	6290439	10513165	8112175	6232706	7731189	6665746	5550474	10660120	8334719	10703520	6706538	7981714	10974130	7373068	10717544	10226819
HAS_REF_BASE_SWAP_R2	7345478	9008520	11247969	8783692	6965653	9729213	8830239	8151510	6597574	12190882	9216191	6822783	7922885	7554201	5955710	11115172	8836367	11555562	7102201	8808986	12706314	8253402	12997901	11830942
PERFECT_REF_MATCH_PAIR	5400350	5979613	7372375	6027331	4388419	6265639	6017387	5308991	4742687	7824308	6036390	4616656	5841195	5032125	4121986	7890150	6329706	7912390	5055177	6027171	8135191	5472772	8115825	7632278
OM_noOverlap_staggered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM_noOverlap_normal	4772653	5536431	7289403	5630397	4047453	6589446	5616000	5114846	4391279	7412580	5529911	4087353	5314265	4539994	3812385	7100624	5301404	7933218	4442991	5855682	7720667	5037440	7476209	7758458
OM_overlap	9735769	11591184	13824392	11235897	8884015	11550369	11255680	10211355	8496694	15291402	11798420	8968108	10339765	9679905	7693776	14674609	11869630	14325814	9365719	10934969	15959726	10588981	16239158	14299249
OM_BAD_OVERLAP	49	37	50	44	38	43	43	44	40	65	35	28	44	48	23	59	52	50	29	49	51	49	78	54
OM_overlap_Match	7797626	9250582	10866491	8879364	6987503	9093088	8866258	8035541	6689619	12000539	9295405	7130581	8241864	7484981	6114975	11792579	9414536	11493386	7498865	8641534	12508007	8353614	12523769	11231568
OM_overlap_mismatch	1938143	2340602	2957901	2356533	1896512	2457281	2389422	2175814	1807075	3290863	2503015	1837527	2097901	2194924	1578801	2882030	2455094	2832428	1866854	2293435	3451719	2235367	3715389	3067681
NumReadsAtMaxReadLength_R1	14508471	17127652	21113845	16866338	12931506	18139858	16871723	15326245	12888013	22704047	17328366	13055489	15654074	14219947	11506184	21775292	17171086	22259082	13808739	16790700	23680444	15626470	23715445	22057761
NumReadsAtMaxReadLength_R2	14508471	17127652	21113845	16866338	12931506	18139858	16871723	15326245	12888013	22704047	17328366	13055489	15654074	14219947	11506184	21775292	17171086	22259082	13808739	16790700	23680444	15626470	23715445	22057761
NumReadsTruncated_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
READ_LENGTH	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
COMPLETED_WITHOUT_WARNING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QoRTs_initTimeStamp	1642587616517	1642587616465	1642587616641	1642587616418	1642587616650	1642587616732	1642587616431	1642587616515	1642587616487	1642587616367	1642587616344	1642587616347	1642587616351	1642587616351	1642587616344	1642587616559	1642587616558	1642587616568	1642587616512	1642587616561	1642587616576	1642587616559	1642587616567	1642587616565
QoRTs_samDoneTimeStamp	1642590879667	1642590729404	1642591575807	1642590772689	1642590535922	1642592012615	1642590590202	1642590456805	1642589946072	1642591155872	1642590335761	1642589701911	1642590045399	1642589840178	1642589434838	1642590943365	1642590302559	1642590988489	1642589830933	1642590244356	1642591457842	1642590244840	1642591311053	1642591040046
QoRTs_majorVer	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_minorVer	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
QoRTs_patchVer	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
QoRTs_compileTimeStamp	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	200699	202179	203679	201950	195440	202235	201613	200348	197125	205001	201338	197562	200443	199070	194968	197131	201432	204177	198263	200352	204459	200064	204588	202814
SpliceLoci_Novel_Covered	95376	105480	111073	104065	85622	102336	101443	98162	83731	124044	102750	88310	92993	92373	80150	103465	101819	117862	90722	98343	122692	98285	120545	112565
SpliceLoci_Covered	296075	307659	314752	306015	281062	304571	303056	298510	280856	329045	304088	285872	293436	291443	275118	300596	303251	322039	288985	298695	327151	298349	325133	315379
InsertSize_Mean	418.94	424.73	414.47	435.62	426.56	431.12	415.49	427.13	427.17	427.21	422.12	434.16	422.31	439.32	433.34	396.31	420.79	431.74	429.68	430.9	416.89	433.58	407.91	416.68
InsertSize_Median	254	253	258	255	250	262	255	255	257	253	251	250	257	251	255	253	249	261	252	259	253	252	251	260
GC_byPair_Mean	142.08	142.48	142.17	142.03	141.97	141.9	142.3	141.78	142.35	141.97	142.18	142.05	142.21	142.1	142.42	141.64	142.14	141.8	142.24	141.74	142.32	142.58	142.26	142.23
GC_byPair_Median	147	147	147	147	147	147	147	146	147	147	147	147	147	147	147	147	147	147	147	146	147	147	147	147
GC_byRead_Mean	71.04	71.24	71.08	71.01	70.98	70.95	71.15	70.89	71.17	70.98	71.09	71.03	71.11	71.05	71.21	70.82	71.07	70.9	71.12	70.87	71.16	71.29	71.13	71.11
GC_byRead_Median	73	74	73	73	73	73	74	73	74	73	73	73	73	73	73	73	73	73	73	73	73	74	73	73
GeneBodyCoverage_Overall_Mean	0.48	0.48	0.49	0.49	0.49	0.48	0.48	0.49	0.49	0.48	0.48	0.49	0.48	0.49	0.48	0.51	0.49	0.49	0.49	0.49	0.48	0.48	0.48	0.49
GeneBodyCoverage_Overall_Median	0.49	0.46	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.51	0.49	0.49	0.49	0.49	0.49	0.46	0.49	0.49
GeneBodyCoverage_LowExpress_Mean	0.49	0.49	0.5	0.5	0.51	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.52	0.5	0.5	0.49	0.5	0.49	0.49	0.49	0.5
GeneBodyCoverage_LowExpress_Median	0.49	0.49	0.49	0.49	0.51	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.54	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49
GeneBodyCoverage_UMQuartile_Mean	0.49	0.49	0.5	0.49	0.5	0.49	0.49	0.5	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.52	0.49	0.5	0.49	0.5	0.49	0.49	0.49	0.5
GeneBodyCoverage_UMQuartile_Median	0.49	0.49	0.49	0.49	0.51	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.54	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49
geneDiversityProfile_top1count	169404	195926	232060	227643	155713	200956	206084	174474	149463	263142	209883	153064	274700	268352	192715	403082	310544	323366	233386	252423	411210	242224	426059	397097
geneDiversityProfile_top10count	1082406	1231522	1590024	1379203	1040565	1268424	1257596	1110213	950722	1587756	1283592	941507	1199869	1166264	859220	1746294	1326182	1566477	1077042	1225400	1819901	1171112	1909832	1792396
geneDiversityProfile_top100count	3362328	3934132	5055639	4042627	3191543	4113671	4066064	3499063	3065051	5074598	4010429	2993405	3706367	3454021	2736941	5481805	4005844	5032633	3242233	3837528	5414735	3643619	5697346	5376296
geneDiversityProfile_top1000count	6822238	8111595	10229411	8024712	6364977	8555882	8174634	7214980	6225471	10616474	8161734	6135755	7530294	6861310	5588757	11094554	8151316	10517496	6572786	7937244	11057131	7502079	11374088	10735358
geneDiversityProfile_top1pct	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
geneDiversityProfile_top10pct	0.09	0.08	0.09	0.1	0.09	0.08	0.09	0.09	0.09	0.08	0.09	0.09	0.09	0.1	0.09	0.09	0.09	0.08	0.09	0.09	0.09	0.09	0.09	0.1
geneDiversityProfile_top100pct	0.27	0.27	0.28	0.28	0.29	0.27	0.28	0.27	0.28	0.26	0.27	0.27	0.28	0.29	0.28	0.29	0.27	0.27	0.28	0.27	0.27	0.27	0.28	0.29
geneDiversityProfile_top1000pct	0.56	0.55	0.57	0.56	0.58	0.55	0.57	0.56	0.57	0.55	0.56	0.56	0.56	0.57	0.57	0.59	0.56	0.56	0.56	0.56	0.55	0.56	0.57	0.57
overlapMismatchRate.byMinQual.noIndel_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
overlapMismatchRate.byMinQual.noIndel_11	12.066387517017	12.1385284241692	12.4407042376153	12.2994045871957	12.3281593384063	12.3454264922306	12.3404018698407	12.3213933470165	12.1899167977077	12.2807315864145	12.283370106927	11.9927131119583	12.1303054370714	12.385697160849	12.2097483604588	12.1789895476447	12.1938386027547	12.1763970153824	12.1889177097891	12.4287537951974	12.3351931401405	12.2468640700588	12.7115277650626	12.4050277763633
