ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1797	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8279	8733	8279	8401	8605	8733
1798	"ENSDARG00000100185"	"elovl7b"	chrKN150589.1	-	3911	4377	3911	4048	4292	4377
1799	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12759	12455	12461	12649	12759
1800	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12654	13069	12654	12759	12951	13069
1801	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12654	13069	12654	12838	12951	13069
1802	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13158	13359	13158	13215	13299	13359
1803	"ENSDARG00000100904"	"CABZ01109021.1"	chrKN149855.1	+	18796	19124	18796	18899	19026	19124
1804	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11165	11544	11165	11320	11455	11544
1805	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	26839	27280	26839	26967	27115	27280
1806	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	7287	7760	7287	7417	7600	7760
1807	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	28932	29058	29150	29178
1808	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31484	31526	31620	31641
1809	"ENSDARG00000103244"	"CABZ01081752.3"	chrKN150703.1	-	46581	47055	46581	46711	46975	47055
1810	"ENSDARG00000101611"	NA	chrKN150170.1	+	12085	12411	12085	12193	12321	12411
1811	"ENSDARG00000101611"	NA	chrKN150170.1	+	12499	12968	12499	12599	12837	12968
1812	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	5091	4742	4796	5041	5091
1813	"ENSDARG00000115752"	"CABZ01028768.1"	chrKN150449.1	-	10064	10491	10064	10192	10326	10491
1814	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40690	40222	40396	40641	40690
1815	"ENSDARG00000104276"	NA	chrKN150326.1	-	42128	42407	42128	42178	42291	42407
1816	"ENSDARG00000104276"	NA	chrKN150326.1	-	61956	62404	61956	62079	62318	62404
1817	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60220	60313	60505	60974
1818	"ENSDARG00000034598"	"dicp1.16"	chrKN149948.1	-	13985	14391	13985	14014	14304	14391
1819	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	25940	26204	25940	26007	26088	26204
1820	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34322	34488	34322	34350	34434	34488
1821	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34322	34632	34322	34488	34578	34632
1822	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40325	40788	40325	40379	40476	40788
1823	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40476	40788	40476	40530	40617	40788
1824	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40617	40788	40617	40671	40753	40788
1825	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63761	63483	63546	63707	63761
1826	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63951	63483	63761	63897	63951
1827	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63629	64121	63629	63951	64067	64121
1828	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283108	283211
1829	"ENSDARG00000100702"	"zgc:174680"	chrKN149696.2	+	162460	162850	162460	162506	162816	162850
1830	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	168200	167828	167917	167994	168200
1831	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167994	168200	167994	168048	168131	168200
1832	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471427	37471911	37471427	37471496	37471649	37471911
1833	"ENSDARG00000110991"	NA	chr25	-	37462787	37463029	37462787	37462874	37462948	37463029
1834	"ENSDARG00000110991"	NA	chr25	-	37462787	37463175	37462787	37462874	37463096	37463175
1835	"ENSDARG00000110991"	NA	chr25	-	37462787	37463175	37462787	37463029	37463096	37463175
1836	"ENSDARG00000110991"	NA	chr25	-	37463944	37464404	37463944	37463991	37464134	37464404
1837	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3670013	3670453	3670013	3670113	3670375	3670453
1838	"ENSDARG00000103476"	"trpm1b"	chr25	+	34611970	34612454	34611970	34612222	34612301	34612454
1839	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8276804	8277150	8276804	8276919	8277013	8277150
1840	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8287975	8288307	8287975	8288114	8288202	8288307
1841	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8290027	8290479	8290027	8290156	8290332	8290479
1842	"ENSDARG00000078139"	"appl2"	chr25	-	5791062	5791322	5791062	5791110	5791187	5791322
1843	"ENSDARG00000078139"	"appl2"	chr25	-	5811534	5811737	5811534	5811564	5811677	5811737
1844	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128710	128857	128980
1845	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128716	128857	128980
1846	"ENSDARG00000087843"	"cntn1a"	chr25	+	146683	147008	146683	146802	146867	147008
1847	"ENSDARG00000087843"	"cntn1a"	chr25	+	146683	147008	146683	146802	146882	147008
1848	"ENSDARG00000103691"	"rfx7b"	chr25	+	398204	398527	398204	398327	398411	398527
1849	"ENSDARG00000103691"	"rfx7b"	chr25	+	398643	399051	398643	398716	398843	399051
1850	"ENSDARG00000100151"	"appl2"	chr25	+	5758292	5758553	5758292	5758353	5758443	5758553
1851	"ENSDARG00000100151"	"appl2"	chr25	+	5771857	5772281	5771857	5771996	5772156	5772281
1852	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5310556	5310923	5310556	5310689	5310816	5310923
1853	"ENSDARG00000103002"	"nptna"	chr25	-	29322682	29322932	29322682	29322699	29322856	29322932
1854	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29323117	29322856	29322932	29323107	29323117
1855	"ENSDARG00000103311"	"fbln1"	chr25	+	1757675	1758049	1757675	1757817	1757923	1758049
1856	"ENSDARG00000103311"	"fbln1"	chr25	+	1762345	1762679	1762345	1762493	1762652	1762679
1857	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203430	202943	203036	203346	203430
1858	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169611	31169892	31169611	31169775	31169863	31169892
1859	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169703	31169986	31169703	31169766	31169863	31169986
1860	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171718	31171948	31171718	31171806	31171904	31171948
1861	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37447661	37448060	37447661	37447808	37447967	37448060
1862	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37453824	37454178	37453824	37453920	37453996	37454178
1863	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37455867	37456341	37455867	37455896	37456031	37456341
1864	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37456879	37457347	37456879	37456979	37457288	37457347
1865	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458579	37458906	37458579	37458676	37458773	37458906
1866	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460950	37460632	37460707	37460875	37460950
1867	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460976	37460632	37460950	37460952	37460976
1868	"ENSDARG00000001259"	"gas2a"	chr25	+	35329603	35329993	35329603	35329639	35329929	35329993
1869	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331574	35331386	35331483	35331549	35331574
1870	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331786	35331386	35331574	35331678	35331786
1871	"ENSDARG00000102823"	"CR759887.3"	chr25	-	16066865	16067348	16066865	16066987	16067233	16067348
1872	"ENSDARG00000030114"	"vps4a"	chr25	+	34940639	34940967	34940639	34940747	34940822	34940967
1873	"ENSDARG00000030114"	"vps4a"	chr25	+	34940639	34941120	34940639	34940967	34941058	34941120
1874	"ENSDARG00000030114"	"vps4a"	chr25	+	34943187	34943618	34943187	34943344	34943413	34943618
1875	"ENSDARG00000105296"	NA	chr25	-	5708741	5709207	5708741	5708970	5709112	5709207
1876	"ENSDARG00000105296"	NA	chr25	-	5710897	5711388	5710897	5711066	5711186	5711388
1877	"ENSDARG00000105296"	NA	chr25	-	5733641	5733993	5733641	5733830	5733926	5733993
1878	"ENSDARG00000070775"	"cyp2x9"	chr25	-	17402735	17403112	17402735	17402888	17403067	17403112
1879	"ENSDARG00000045592"	"tnni2a.1"	chr25	+	31232851	31233172	31232851	31232980	31233139	31233172
1880	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259687	19260008	19259687	19259827	19259906	19260008
1881	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259906	19260221	19259906	19260008	19260077	19260221
1882	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19262669	19262968	19262669	19262771	19262895	19262968
1883	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315384	19315176	19315202	19315276	19315384
1884	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315576	19315176	19315384	19315459	19315576
1885	"ENSDARG00000045799"	"acanb"	chr25	-	19213871	19214363	19213871	19213957	19214177	19214363
1886	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925519	27925306	27925399	27925479	27925519
1887	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925661	27925306	27925399	27925603	27925661
1888	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925661	27925306	27925519	27925603	27925661
1889	"ENSDARG00000078992"	"wnk1a"	chr25	-	21119570	21119948	21119570	21119755	21119831	21119948
1890	"ENSDARG00000078992"	"wnk1a"	chr25	-	21125293	21125716	21125293	21125487	21125575	21125716
1891	"ENSDARG00000078992"	"wnk1a"	chr25	-	21126686	21127085	21126686	21126803	21126924	21127085
1892	"ENSDARG00000078992"	"wnk1a"	chr25	-	21126924	21127160	21126924	21127069	21127156	21127160
1893	"ENSDARG00000078992"	"wnk1a"	chr25	-	21129348	21129677	21129348	21129432	21129611	21129677
1894	"ENSDARG00000078992"	"wnk1a"	chr25	-	21142512	21142987	21142512	21142733	21142823	21142987
1895	"ENSDARG00000037353"	"frs2b"	chr25	-	34733568	34733953	34733568	34733597	34733766	34733953
1896	"ENSDARG00000078600"	"ldlrad3"	chr25	-	37328524	37328858	37328524	37328659	37328737	37328858
1897	"ENSDARG00000018559"	"kdm7ab"	chr25	+	17305003	17305296	17305003	17305159	17305237	17305296
1898	"ENSDARG00000030621"	"th"	chr25	-	24072955	24073335	24072955	24073159	24073263	24073335
1899	"ENSDARG00000006600"	"lsm14aa"	chr25	+	35903245	35903580	35903245	35903280	35903357	35903580
1900	"ENSDARG00000102889"	"sept15"	chr25	-	12864618	12865088	12864618	12864630	12864991	12865088
1901	"ENSDARG00000101332"	"uba2"	chr25	-	12816333	12816746	12816333	12816430	12816532	12816746
1902	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819241	12819031	12819045	12819141	12819241
1903	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819241	12819031	12819048	12819141	12819241
1904	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819456	12819031	12819241	12819304	12819456
1905	"ENSDARG00000101332"	"uba2"	chr25	-	12819031	12819456	12819031	12819241	12819334	12819456
1906	"ENSDARG00000101332"	"uba2"	chr25	-	12822628	12823036	12822628	12822729	12822809	12823036
1907	"ENSDARG00000101332"	"uba2"	chr25	-	12822809	12823036	12822809	12822874	12822974	12823036
1908	"ENSDARG00000025189"	"cpne8"	chr25	+	35845059	35845386	35845059	35845106	35845204	35845386
1909	"ENSDARG00000051749"	"tigara"	chr25	-	16967128	16967407	16967128	16967239	16967310	16967407
1910	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16986613	16987020	16986613	16986734	16986905	16987020
1911	"ENSDARG00000045808"	"rlbp1b"	chr25	+	19105803	19106126	19105803	19105972	19106107	19106126
1912	"ENSDARG00000045808"	"rlbp1b"	chr25	+	19107277	19107561	19107277	19107314	19107475	19107561
1913	"ENSDARG00000045808"	"rlbp1b"	chr25	+	19107475	19107799	19107475	19107561	19107670	19107799
1914	"ENSDARG00000045808"	"rlbp1b"	chr25	+	19112788	19113236	19112788	19112899	19113013	19113236
1915	"ENSDARG00000100265"	"rhcgb"	chr25	-	8585132	8585550	8585132	8585206	8585450	8585550
1916	"ENSDARG00000045605"	"ticrr"	chr25	+	30328870	30329119	30328870	30328954	30329043	30329119
1917	"ENSDARG00000045605"	"ticrr"	chr25	+	30328870	30329355	30328870	30329119	30329217	30329355
1918	"ENSDARG00000100206"	"klhdc4"	chr25	-	12719782	12720249	12719782	12719991	12720139	12720249
1919	"ENSDARG00000100206"	"klhdc4"	chr25	-	12729719	12729966	12729719	12729798	12729877	12729966
1920	"ENSDARG00000051936"	"ergic2"	chr25	+	20718435	20718928	20718435	20718479	20718826	20718928
1921	"ENSDARG00000051936"	"ergic2"	chr25	+	20724341	20724641	20724341	20724358	20724543	20724641
1922	"ENSDARG00000074626"	"pidd1"	chr25	-	4514143	4514367	4514143	4514251	4514317	4514367
1923	"ENSDARG00000074626"	"pidd1"	chr25	-	4514317	4514710	4514317	4514367	4514594	4514710
1924	"ENSDARG00000074626"	"pidd1"	chr25	-	4514317	4514710	4514317	4514504	4514594	4514710
1925	"ENSDARG00000074626"	"pidd1"	chr25	-	4514594	4514927	4514594	4514710	4514787	4514927
1926	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237874	30238113	30237874	30237903	30238020	30238113
1927	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237874	30238113	30237874	30237950	30238020	30238113
1928	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4479428	4479696	4479428	4479484	4479571	4479696
1929	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14429803	14430049	14429803	14429908	14429985	14430049
1930	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14429985	14430322	14429985	14430111	14430209	14430322
1931	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14431706	14432160	14431706	14431894	14431984	14432160
1932	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14431706	14432160	14431706	14431898	14431984	14432160
1933	"ENSDARG00000051899"	"exoc3l1"	chr25	-	14433255	14433503	14433255	14433303	14433378	14433503
1934	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220517	30220326	30220391	30220473	30220517
1935	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220473	30220944	30220473	30220518	30220914	30220944
1936	"ENSDARG00000020735"	"efcab6"	chr25	-	18999971	19000460	18999971	19000076	19000146	19000460
1937	"ENSDARG00000020735"	"efcab6"	chr25	-	19000146	19000460	19000146	19000304	19000397	19000460
1938	"ENSDARG00000008395"	"snupn"	chr25	-	6440042	6440348	6440042	6440177	6440251	6440348
1939	"ENSDARG00000070723"	"ndufa9a"	chr25	-	16773194	16773512	16773194	16773325	16773417	16773512
1940	"ENSDARG00000077495"	"ptpn9a"	chr25	-	6407675	6408080	6407675	6407693	6407929	6408080
1941	"ENSDARG00000045733"	"ciapin1"	chr25	+	14401124	14401452	14401124	14401268	14401361	14401452
1942	"ENSDARG00000051746"	"ada2a"	chr25	+	16698908	16699393	16698908	16699066	16699346	16699393
1943	"ENSDARG00000067796"	"clpxb"	chr25	-	35577921	35578193	35577921	35578028	35578102	35578193
1944	"ENSDARG00000033596"	"polr2c"	chr25	-	14373649	14373956	14373649	14373778	14373888	14373956
1945	"ENSDARG00000033596"	"polr2c"	chr25	-	14373888	14374095	14373888	14373956	14374026	14374095
1946	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173115	30173671	30173115	30173370	30173653	30173671
1947	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173115	30173671	30173115	30173414	30173653	30173671
1948	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34043083	34043293	34043083	34043117	34043215	34043293
1949	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34043083	34043293	34043083	34043120	34043215	34043293
1950	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34043083	34043445	34043083	34043293	34043365	34043445
1951	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34046358	34046614	34046358	34046443	34046536	34046614
1952	"ENSDARG00000079716"	"sin3aa"	chr25	-	6357112	6357530	6357112	6357286	6357363	6357530
1953	"ENSDARG00000079716"	"sin3aa"	chr25	-	6369937	6370222	6369937	6370056	6370138	6370222
1954	"ENSDARG00000079716"	"sin3aa"	chr25	-	6369937	6370222	6369937	6370056	6370139	6370222
1955	"ENSDARG00000060951"	"polg"	chr25	-	8492102	8492386	8492102	8492238	8492332	8492386
1956	"ENSDARG00000060951"	"polg"	chr25	-	8492102	8492386	8492102	8492245	8492332	8492386
1957	"ENSDARG00000019532"	"fads2"	chr25	-	4135896	4136150	4135896	4136022	4136097	4136150
1958	"ENSDARG00000086450"	"tdg.2"	chr25	+	18957554	18957959	18957554	18957652	18957876	18957959
1959	"ENSDARG00000012535"	"epx"	chr25	-	3139433	3139805	3139433	3139518	3139714	3139805
1960	"ENSDARG00000045797"	NA	chr25	-	18952141	18952517	18952141	18952290	18952504	18952517
1961	"ENSDARG00000003216"	"anxa2a"	chr25	+	34020276	34020493	34020276	34020367	34020440	34020493
1962	"ENSDARG00000003216"	"anxa2a"	chr25	+	34025241	34025583	34025241	34025295	34025460	34025583
1963	"ENSDARG00000003216"	"anxa2a"	chr25	+	34025241	34025583	34025241	34025368	34025460	34025583
1964	"ENSDARG00000007755"	"wdr61"	chr25	-	6291543	6291778	6291543	6291649	6291755	6291778
1965	"ENSDARG00000061282"	"glg1a"	chr25	-	37223493	37223829	37223493	37223601	37223740	37223829
1966	"ENSDARG00000061282"	"glg1a"	chr25	-	37227700	37228033	37227700	37227818	37227950	37228033
1967	"ENSDARG00000061282"	"glg1a"	chr25	-	37227950	37228347	37227950	37228039	37228237	37228347
1968	"ENSDARG00000061282"	"glg1a"	chr25	-	37228237	37228587	37228237	37228351	37228449	37228587
1969	"ENSDARG00000061282"	"glg1a"	chr25	-	37231035	37231359	37231035	37231137	37231243	37231359
1970	"ENSDARG00000070717"	"slc25a18"	chr25	-	16639595	16639965	16639595	16639718	16639822	16639965
1971	"ENSDARG00000070717"	"slc25a18"	chr25	-	16654965	16655221	16654965	16655007	16655185	16655221
1972	"ENSDARG00000007975"	"fth1b"	chr25	+	3061719	3062057	3061719	3061734	3061910	3062057
1973	"ENSDARG00000007975"	"fth1b"	chr25	+	3061719	3062057	3061719	3061824	3061910	3062057
1974	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37193051	37193462	37193051	37193312	37193415	37193462
1975	"ENSDARG00000079111"	"actc1c"	chr25	+	14117080	14117355	14117080	14117117	14117193	14117355
1976	"ENSDARG00000058015"	"ano3"	chr25	+	35441783	35442000	35441783	35441866	35441973	35442000
1977	"ENSDARG00000019142"	"fam185a"	chr25	+	18715506	18715716	18715506	18715543	18715620	18715716
1978	"ENSDARG00000060711"	"sv2bb"	chr25	-	11040873	11041283	11040873	11041033	11041147	11041283
1979	"ENSDARG00000060711"	"sv2bb"	chr25	-	11042365	11042680	11042365	11042454	11042536	11042680
1980	"ENSDARG00000102060"	NA	chr25	+	13793272	13793567	13793272	13793364	13793482	13793567
1981	"ENSDARG00000102060"	NA	chr25	+	13793520	13793791	13793520	13793567	13793705	13793791
1982	"ENSDARG00000102060"	NA	chr25	+	13796372	13796675	13796372	13796482	13796584	13796675
1983	"ENSDARG00000045928"	"psma4"	chr25	-	6222531	6222824	6222531	6222694	6222783	6222824
1984	"ENSDARG00000078676"	"myrf"	chr25	-	3906802	3907079	3906802	3906916	3906999	3907079
1985	"ENSDARG00000089131"	"il17rel"	chr25	+	29489095	29489417	29489095	29489153	29489238	29489417
1986	"ENSDARG00000078785"	"tmem258"	chr25	-	3887269	3887627	3887269	3887439	3887540	3887627
1987	"ENSDARG00000001127"	"slc17a6a"	chr25	+	35256060	35256281	35256060	35256078	35256166	35256281
1988	"ENSDARG00000045930"	"rbpms2a"	chr25	+	6131627	6131868	6131627	6131669	6131790	6131868
1989	"ENSDARG00000045930"	"rbpms2a"	chr25	+	6131627	6131995	6131627	6131868	6131956	6131995
1990	"ENSDARG00000045930"	"rbpms2a"	chr25	+	6131627	6131995	6131627	6131877	6131956	6131995
1991	"ENSDARG00000102674"	"ckap5"	chr25	-	13749188	13749498	13749188	13749272	13749362	13749498
1992	"ENSDARG00000102674"	"ckap5"	chr25	-	13763496	13763873	13763496	13763646	13763748	13763873
1993	"ENSDARG00000102674"	"ckap5"	chr25	-	13765644	13766090	13765644	13765731	13765998	13766090
1994	"ENSDARG00000102674"	"ckap5"	chr25	-	13782073	13782548	13782073	13782245	13782346	13782548
1995	"ENSDARG00000015731"	"ano5a"	chr25	+	35228676	35229029	35228676	35228757	35228954	35229029
1996	"ENSDARG00000070830"	"zgc:136858"	chr25	-	20035532	20035816	20035532	20035670	20035744	20035816
1997	"ENSDARG00000070830"	"zgc:136858"	chr25	-	20037753	20038064	20037753	20037878	20037969	20038064
1998	"ENSDARG00000070830"	"zgc:136858"	chr25	-	20037969	20038192	20037969	20038064	20038137	20038192
1999	"ENSDARG00000070830"	"zgc:136858"	chr25	-	20047987	20048480	20047987	20048162	20048369	20048480
2000	"ENSDARG00000100231"	"ccdc135"	chr25	+	13735847	13736262	13735847	13735970	13736067	13736262
2001	"ENSDARG00000097285"	NA	chr25	+	10835869	10836198	10835869	10835991	10836106	10836198
2002	"ENSDARG00000021339"	"cpa5"	chr25	-	18460253	18460487	18460253	18460338	18460420	18460487
2003	"ENSDARG00000021339"	"cpa5"	chr25	-	18463167	18463456	18463167	18463260	18463345	18463456
2004	"ENSDARG00000021339"	"cpa5"	chr25	-	18463167	18463456	18463167	18463261	18463345	18463456
2005	"ENSDARG00000021339"	"cpa5"	chr25	-	18463170	18463474	18463170	18463261	18463346	18463474
2006	"ENSDARG00000021339"	"cpa5"	chr25	-	18463345	18463636	18463345	18463456	18463542	18463636
2007	"ENSDARG00000021339"	"cpa5"	chr25	-	18463167	18463641	18463167	18463474	18463542	18463641
2008	"ENSDARG00000021339"	"cpa5"	chr25	-	18465078	18465441	18465078	18465180	18465312	18465441
2009	"ENSDARG00000103878"	"anpepb"	chr25	+	10815607	10815982	10815607	10815742	10815855	10815982
2010	"ENSDARG00000103878"	"anpepb"	chr25	+	10815855	10816259	10815855	10815982	10816178	10816259
2011	"ENSDARG00000103878"	"anpepb"	chr25	+	10815855	10816259	10815855	10815982	10816196	10816259
2012	"ENSDARG00000103878"	"anpepb"	chr25	+	10818327	10818653	10818327	10818441	10818514	10818653
2013	"ENSDARG00000103878"	"anpepb"	chr25	+	10818724	10818951	10818724	10818803	10818885	10818951
2014	"ENSDARG00000103878"	"anpepb"	chr25	+	10822625	10822911	10822625	10822679	10822763	10822911
2015	"ENSDARG00000103878"	"anpepb"	chr25	+	10822625	10823097	10822625	10822911	10823008	10823097
2016	"ENSDARG00000103878"	"anpepb"	chr25	+	10823054	10823284	10823054	10823097	10823173	10823284
2017	"ENSDARG00000014866"	"hprt1l"	chr25	-	37081405	37081807	37081405	37081512	37081710	37081807
2018	"ENSDARG00000061946"	"commd4"	chr25	-	26840382	26840727	26840382	26840541	26840646	26840727
2019	"ENSDARG00000061946"	"commd4"	chr25	-	26842433	26842659	26842433	26842473	26842563	26842659
2020	"ENSDARG00000018681"	"saal1"	chr25	-	8180538	8180974	8180538	8180825	8180904	8180974
2021	"ENSDARG00000018681"	"saal1"	chr25	-	8188524	8188816	8188524	8188547	8188653	8188816
2022	"ENSDARG00000038288"	"cd151"	chr25	-	3813021	3813471	3813021	3813126	3813450	3813471
2023	"ENSDARG00000038288"	"cd151"	chr25	-	3813303	3813841	3813303	3813471	3813766	3813841
2024	"ENSDARG00000021110"	"poc1b"	chr25	-	18434399	18434750	18434399	18434567	18434665	18434750
2025	"ENSDARG00000053609"	"gatd1"	chr25	-	3804357	3804815	3804357	3804451	3804531	3804815
2026	"ENSDARG00000053609"	"gatd1"	chr25	-	3805844	3807609	3805844	3805949	3807503	3807609
2027	"ENSDARG00000053609"	"gatd1"	chr25	-	3805844	3807609	3805844	3805971	3807503	3807609
2028	"ENSDARG00000092798"	"ppib"	chr25	+	5984164	5984455	5984164	5984275	5984361	5984455
2029	"ENSDARG00000092798"	"ppib"	chr25	+	5984164	5984455	5984164	5984276	5984361	5984455
2030	"ENSDARG00000003841"	"usb1"	chr25	+	13685287	13685538	13685287	13685393	13685475	13685538
2031	"ENSDARG00000079835"	"man2c1"	chr25	+	26812352	26812628	26812352	26812428	26812504	26812628
2032	"ENSDARG00000079835"	"man2c1"	chr25	+	26812504	26812721	26812504	26812628	26812705	26812721
2033	"ENSDARG00000079835"	"man2c1"	chr25	+	26816867	26817118	26816867	26816984	26817057	26817118
2034	"ENSDARG00000079835"	"man2c1"	chr25	+	26816867	26817118	26816867	26816984	26817078	26817118
2035	"ENSDARG00000079835"	"man2c1"	chr25	+	26817078	26817384	26817078	26817118	26817238	26817384
2036	"ENSDARG00000079835"	"man2c1"	chr25	+	26817078	26817384	26817078	26817153	26817238	26817384
2037	"ENSDARG00000079835"	"man2c1"	chr25	+	26821469	26821918	26821469	26821686	26821774	26821918
2038	"ENSDARG00000079835"	"man2c1"	chr25	+	26822793	26823282	26822793	26822903	26822980	26823282
2039	"ENSDARG00000079835"	"man2c1"	chr25	+	26822980	26823282	26822980	26823060	26823143	26823282
