ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
42	"ENSDARG00000104276"	NA	chrKN150326.1	-	51807	51909	51627	51678	52380	52460
43	"ENSDARG00000104276"	NA	chrKN150326.1	-	84962	85206	81406	81698	91206	91364
44	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	91206	91364	102054	102197
47	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	44639	44839	55044	55141
48	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	55044	55141	51719	51804	57764	57910
49	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60313	58292	58376	60853	60974
51	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	26469	26619	26088	26204	26717	26821
52	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	27006	27095	26717	26821	28766	31563
54	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	96398	96515	85097	85151	99305	99386
55	"ENSDARG00000112651"	"CU182823.2"	chrKN147637.2	-	117124	117298	107458	110935	118542	118708
57	"ENSDARG00000101754"	"BX664622.1"	chrKN149689.2	+	125707	125986	123980	124282	126899	128718
58	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	45578	45761	48182	48356
59	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	48182	48356	47071	47245	60953	62672
60	"ENSDARG00000102737"	"CABZ01060490.1"	chrKN149696.2	+	48846	49020	45815	47583	51369	51543
61	"ENSDARG00000100702"	"zgc:174680"	chrKN149696.2	+	162460	162506	161622	162305	163623	163715
62	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167538	167595	167994	168048
63	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167994	168048	167828	167917	168131	168418
64	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37470378	37470822	37471649	37471911
65	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471649	37471911	37471419	37471496	37473277	37473474
66	"ENSDARG00000117481"	"CR354549.5"	chr25	+	23200575	23200632	23200065	23200346	23201562	23201809
67	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37460725	37461492	37462084	37462202
68	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37461595	37461695	37462533	37462609
69	"ENSDARG00000110991"	NA	chr25	-	37462533	37462609	37462084	37462202	37462778	37462874
70	"ENSDARG00000110991"	NA	chr25	-	37463096	37463175	37462948	37463029	37463449	37463761
71	"ENSDARG00000110991"	NA	chr25	-	37463944	37463991	37463449	37463761	37464134	37464408
72	"ENSDARG00000061421"	NA	chr25	-	24752065	24752246	24748277	24748367	24757497	24757621
73	"ENSDARG00000061421"	NA	chr25	-	24787693	24787762	24770064	24770125	24790709	24790860
74	"ENSDARG00000061421"	NA	chr25	-	24904819	24904914	24852978	24853064	25058100	25058508
75	"ENSDARG00000103476"	"trpm1b"	chr25	+	34591216	34591391	34589753	34589925	34593913	34594037
76	"ENSDARG00000032650"	"fuk"	chr25	+	7573070	7573143	7571919	7572302	7574971	7575069
77	"ENSDARG00000032650"	"fuk"	chr25	+	7576411	7576583	7576102	7576222	7577085	7577192
78	"ENSDARG00000078139"	"appl2"	chr25	-	5794320	5794357	5791187	5791328	5794437	5794612
79	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33256011	33256563	33258653	33258844
80	"ENSDARG00000040803"	"lactb"	chr25	+	33258653	33258844	33257448	33257515	33259472	33259779
81	"ENSDARG00000101297"	"tmem266"	chr25	-	32799945	32800061	32797040	32797218	32802319	32802458
82	"ENSDARG00000103691"	"rfx7b"	chr25	+	395105	395144	394666	394752	398204	398327
83	"ENSDARG00000100918"	"prc1a"	chr25	+	7443398	7443569	7439793	7440027	7445848	7445998
84	"ENSDARG00000100918"	"prc1a"	chr25	+	7456710	7456869	7456523	7456622	7458590	7461466
86	"ENSDARG00000100151"	"appl2"	chr25	+	5774918	5774999	5771857	5771996	5775081	5777257
87	"ENSDARG00000100151"	"appl2"	chr25	+	5779454	5779596	5778762	5778931	5780459	5780654
88	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5312268	5312306	5310816	5310923	5315944	5316125
89	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5316987	5317074	5315944	5316125	5319060	5319242
90	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5319317	5319461	5319060	5319242	5324189	5324415
91	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29322932	29315923	29319882	29323107	29323129
92	"ENSDARG00000103002"	"nptna"	chr25	-	29343372	29343467	29332866	29333000	29350320	29350492
93	"ENSDARG00000103002"	"nptna"	chr25	-	29350320	29350492	29332866	29333000	29363128	29363934
94	"ENSDARG00000103666"	"dapk2b"	chr25	+	26497940	26498162	26441053	26441130	26547036	26547175
95	"ENSDARG00000103666"	"dapk2b"	chr25	+	26579476	26579629	26497940	26498162	26580252	26580298
96	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	202322	202507	203346	203439
97	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	202322	202507	203904	204019
98	"ENSDARG00000114874"	"FP236318.4"	chr25	-	203346	203439	202322	202507	203904	204019
100	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37450077	37450219	37449836	37449913	37450322	37450456
101	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37453996	37454178	37454627	37454792
102	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454627	37454792	37454315	37454409	37455015	37455089
103	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37456879	37456979	37456031	37456233	37457288	37457348
104	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457288	37457348	37457826	37457942
105	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457826	37457942	37457464	37457569	37458060	37458190
106	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37457826	37457942	37458430	37458527
107	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458278	37458341	37458060	37458190	37458430	37458527
108	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458430	37458527	37458060	37458190	37458600	37458676
109	"ENSDARG00000105296"	NA	chr25	-	5714340	5714379	5713687	5713802	5718943	5719062
110	"ENSDARG00000105296"	NA	chr25	-	5724846	5724979	5722176	5722286	5725546	5725609
111	"ENSDARG00000045968"	"spg11"	chr25	-	1092327	1092483	1091659	1091811	1092689	1092766
112	"ENSDARG00000045968"	"spg11"	chr25	-	1099198	1099344	1098639	1098844	1101402	1101940
113	"ENSDARG00000009941"	"erc1a"	chr25	+	21197687	21197762	21194354	21194732	21202330	21202486
116	"ENSDARG00000010270"	"fezf1"	chr25	+	28274077	28274212	28272907	28273987	28275084	28275217
117	"ENSDARG00000061345"	"wwp2"	chr25	+	34765599	34765774	34763430	34763520	34775763	34775818
118	"ENSDARG00000061345"	"wwp2"	chr25	+	34784861	34784943	34775763	34775818	34788974	34789053
119	"ENSDARG00000061345"	"wwp2"	chr25	+	34786530	34786659	34784861	34784943	34788974	34789053
120	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19311099	19311323	19310163	19310305	19312527	19312655
121	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19318808	19318905	19325293	19325356
122	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19318808	19318905	19340138	19340276
123	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19318808	19318905	19341375	19341486
124	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19325293	19325356	19318808	19318905	19340138	19340276
125	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19325293	19325356	19322560	19322668	19340138	19340276
126	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19340138	19340276	19318808	19318905	19341375	19341486
127	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19340138	19340276	19322560	19322668	19341375	19341486
128	"ENSDARG00000009266"	"uevld"	chr25	-	24191879	24191985	24189212	24189383	24192773	24192915
129	"ENSDARG00000009266"	"uevld"	chr25	-	24192082	24192171	24191879	24191985	24192773	24192915
131	"ENSDARG00000078992"	"wnk1a"	chr25	-	21140927	21141085	21136521	21136610	21142512	21142733
133	"ENSDARG00000078600"	"ldlrad3"	chr25	-	37326136	37326443	37325053	37325896	37328524	37328659
137	"ENSDARG00000006600"	"lsm14aa"	chr25	+	35901223	35901386	35899961	35900141	35903241	35903280
138	"ENSDARG00000102889"	"sept15"	chr25	-	12880249	12880356	12872170	12872271	12901489	12901586
139	"ENSDARG00000025189"	"cpne8"	chr25	+	35801197	35801238	35774543	35774736	35813819	35813866
140	"ENSDARG00000025189"	"cpne8"	chr25	+	35830667	35830731	35823641	35823718	35833562	35833666
141	"ENSDARG00000033307"	"igf2b"	chr25	-	24045311	24045462	24043248	24043430	24046712	24046870
142	"ENSDARG00000013784"	"zgc:77158"	chr25	+	16895293	16895397	16880989	16881120	16915973	16916285
143	"ENSDARG00000013784"	"zgc:77158"	chr25	+	16931654	16932482	16915973	16916285	16936800	16937066
144	"ENSDARG00000013784"	"zgc:77158"	chr25	+	16939447	16939486	16938660	16939089	16940933	16941619
145	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	16977705	16977861	17044734	17044779
146	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16982322	16982482	16986613	16987020
148	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16982322	16982482	17238928	17239079
150	"ENSDARG00000051748"	"ccnd2a"	chr25	-	17044734	17044779	16982322	16982482	17238928	17239008
151	"ENSDARG00000051748"	"ccnd2a"	chr25	-	17044734	17044779	16985062	16985278	17238928	17239008
153	"ENSDARG00000061131"	"kif21a"	chr25	+	35730846	35730915	35730651	35730759	35732520	35732660
156	"ENSDARG00000101778"	"ca5a"	chr25	-	12800894	12800957	12800295	12800753	12803227	12803323
157	"ENSDARG00000101778"	"ca5a"	chr25	-	12803939	12804058	12803227	12803323	12804372	12804450
158	"ENSDARG00000014113"	"wasla"	chr25	+	27759881	27760016	27744292	27744684	27763502	27763589
159	"ENSDARG00000014113"	"wasla"	chr25	+	27763502	27763589	27744292	27744684	27788062	27788200
160	"ENSDARG00000014113"	"wasla"	chr25	+	27763778	27763875	27763502	27763589	27788062	27788200
162	"ENSDARG00000073769"	"magi2b"	chr25	-	20744972	20745061	20743117	20743174	20750445	20750584
163	"ENSDARG00000073769"	"magi2b"	chr25	-	20781537	20781573	20777466	20777558	20785203	20785381
164	"ENSDARG00000034443"	"mpped2"	chr25	+	14700476	14700658	14697246	14697908	14702681	14702907
165	"ENSDARG00000100206"	"klhdc4"	chr25	-	12721495	12721574	12719782	12719991	12723845	12724008
166	"ENSDARG00000100206"	"klhdc4"	chr25	-	12723845	12724008	12721495	12721574	12725189	12725282
167	"ENSDARG00000100206"	"klhdc4"	chr25	-	12729719	12729798	12728090	12728189	12729877	12729969
168	"ENSDARG00000088079"	"tmed6"	chr25	+	37287396	37287572	37286829	37286956	37287904	37288184
169	"ENSDARG00000102204"	"jph3"	chr25	+	12656558	12657366	12640210	12640592	12685847	12685972
170	"ENSDARG00000097790"	"si:dkey-234i14.6"	chr25	+	37273631	37273808	37268899	37269507	37275996	37276221
171	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666733	35667177	35663932	35664911	35668490	35668650
172	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35668490	35668650	35666733	35667177	35669972	35670178
173	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35673287	35673408	35672514	35672678	35675410	35675536
175	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237874	30237954	30233637	30233785	30238022	30238113
176	"ENSDARG00000045606"	"alkbh3"	chr25	+	30237874	30238113	30233713	30233785	30240656	30240736
177	"ENSDARG00000045606"	"alkbh3"	chr25	+	30238020	30238113	30233675	30233785	30240656	30240736
178	"ENSDARG00000045606"	"alkbh3"	chr25	+	30238022	30238113	30233685	30233785	30240656	30240736
179	"ENSDARG00000045606"	"alkbh3"	chr25	+	30244018	30244125	30240935	30240983	30249050	30249139
180	"ENSDARG00000045606"	"alkbh3"	chr25	+	30251638	30251848	30249050	30249139	30255684	30255783
181	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4467553	4467701	4465344	4465499	4469397	4469458
182	"ENSDARG00000051931"	"edc3"	chr25	-	20687122	20687427	20682334	20682679	20690559	20690732
183	"ENSDARG00000063568"	"syt7a"	chr25	-	4264820	4264934	4234749	4234861	4282378	4282735
184	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220326	30220391	30219093	30219201	30220473	30220518
185	"ENSDARG00000015709"	"hsd17b12a"	chr25	+	30220473	30220518	30219093	30219201	30220914	30220949
186	"ENSDARG00000038166"	"hyal6"	chr25	-	27605186	27605951	27601208	27601298	27609809	27610005
187	"ENSDARG00000070723"	"ndufa9a"	chr25	-	16776824	16776966	16776205	16776308	16778406	16778498
188	"ENSDARG00000077495"	"ptpn9a"	chr25	-	6417041	6417147	6414960	6415071	6417281	6417406
189	"ENSDARG00000077495"	"ptpn9a"	chr25	-	6417281	6417406	6414960	6415071	6418960	6419050
190	"ENSDARG00000045733"	"ciapin1"	chr25	+	14403261	14403430	14401361	14401441	14403890	14403964
191	"ENSDARG00000004199"	"spam1"	chr25	-	27537462	27537552	27531873	27536569	27540355	27541288
192	"ENSDARG00000051746"	"ada2a"	chr25	+	16694639	16694850	16694348	16694568	16696267	16696395
193	"ENSDARG00000071062"	"hps5"	chr25	-	3169431	3169543	3165760	3165907	3174973	3175132
194	"ENSDARG00000071062"	"hps5"	chr25	-	3171801	3171958	3169431	3169543	3174973	3175132
195	"ENSDARG00000071062"	"hps5"	chr25	-	3179415	3179649	3178120	3178192	3181092	3181223
196	"ENSDARG00000067796"	"clpxb"	chr25	-	35584033	35584122	35581133	35581298	35586031	35586196
197	"ENSDARG00000023583"	"coq9"	chr25	-	14388873	14389016	14387555	14387640	14392741	14392877
198	"ENSDARG00000077228"	"ntrk3a"	chr25	-	11894434	11894623	11844054	11844185	11990233	11990336
199	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173653	30173671	30171954	30172002	30178939	30179035
200	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30173115	30173671	30182513	30182654
201	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30182513	30182654	30178939	30179035	30192071	30192167
202	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34035733	34035773	34035540	34035625	34036068	34036111
203	"ENSDARG00000097513"	"CT573383.1"	chr25	+	34036672	34036715	34036068	34036111	34043063	34043117
204	"ENSDARG00000079716"	"sin3aa"	chr25	-	6370902	6371058	6370138	6370228	6373304	6373457
205	"ENSDARG00000079716"	"sin3aa"	chr25	-	6383325	6383535	6377591	6377777	6389595	6389713
206	"ENSDARG00000079716"	"sin3aa"	chr25	-	6383325	6383535	6377591	6377777	6391230	6391271
207	"ENSDARG00000060951"	"polg"	chr25	-	8482735	8482944	8482106	8482267	8486558	8486736
208	"ENSDARG00000019532"	"fads2"	chr25	-	4143765	4143963	4141553	4141655	4144908	4145019
210	"ENSDARG00000013004"	"tdg.1"	chr25	+	18965443	18965502	18964781	18964889	18969487	18969657
211	"ENSDARG00000013004"	"tdg.1"	chr25	+	18973252	18973347	18973081	18973164	18975521	18975693
212	"ENSDARG00000086450"	"tdg.2"	chr25	+	18954188	18954260	18953574	18953861	18955179	18955361
213	"ENSDARG00000104384"	"agbl1"	chr25	+	11527733	11527817	11521071	11521451	11531550	11531643
214	"ENSDARG00000104384"	"agbl1"	chr25	+	11672799	11672963	11639197	11639374	11702816	11706389
215	"ENSDARG00000062325"	"shank2b"	chr25	+	14309733	14309816	14296659	14296741	14311764	14311889
216	"ENSDARG00000062949"	"nt5dc3"	chr25	-	18944277	18944462	18940753	18940828	18948453	18948816
217	"ENSDARG00000045926"	"crabp1a"	chr25	+	6312911	6313090	6306884	6307083	6329581	6329695
219	"ENSDARG00000003216"	"anxa2a"	chr25	+	34025236	34025295	34022238	34022334	34025460	34025583
220	"ENSDARG00000058108"	"eps8l2"	chr25	+	4091091	4091156	4043840	4043998	4097399	4097561
222	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221547	37219995	37220058	37222025	37222132
224	"ENSDARG00000061282"	"glg1a"	chr25	-	37224164	37224307	37223740	37223842	37224436	37224560
226	"ENSDARG00000076508"	"grm8b"	chr25	+	27010162	27010379	26922911	26923702	27089255	27089391
227	"ENSDARG00000076508"	"grm8b"	chr25	+	27128306	27128507	27092571	27092709	27166093	27166230
228	"ENSDARG00000076508"	"grm8b"	chr25	+	27173771	27174707	27166093	27166230	27210744	27210991
230	"ENSDARG00000005004"	"slc5a12"	chr25	-	35480534	35480716	35478533	35478637	35482347	35482434
231	"ENSDARG00000007975"	"fth1b"	chr25	+	3062394	3062520	3061910	3062057	3065240	3066067
232	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37194504	37194618	37194269	37194400	37195661	37195810
233	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37195661	37195810	37194504	37194618	37202546	37202657
234	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37202546	37202657	37195661	37195810	37204899	37205061
235	"ENSDARG00000086670"	"ice2"	chr25	+	33974053	33974339	33972018	33972483	33974777	33974897
236	"ENSDARG00000086670"	"ice2"	chr25	+	33987593	33987927	33982922	33983387	33988849	33989016
237	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	22982691	22982858	23030310	23030665
238	"ENSDARG00000009299"	"dusp8a"	chr25	-	23030310	23030665	23015607	23015746	23052425	23052707
239	"ENSDARG00000079111"	"actc1c"	chr25	+	14118091	14118283	14117193	14117355	14123011	14123193
241	"ENSDARG00000010146"	"cpa2"	chr25	-	16595268	16595365	16593175	16593375	16595450	16595570
242	"ENSDARG00000031768"	"roraa"	chr25	+	33947429	33947825	33943813	33943955	33948634	33948756
243	"ENSDARG00000010279"	"scamp2"	chr25	-	3019201	3019319	3015675	3016615	3021901	3022003
245	"ENSDARG00000010279"	"scamp2"	chr25	-	3023206	3023366	3021901	3022003	3024884	3025013
246	"ENSDARG00000102229"	"mapk8ip1a"	chr25	-	13808699	13808798	13801715	13804390	13810560	13810631
247	"ENSDARG00000102229"	"mapk8ip1a"	chr25	-	13813814	13813918	13813574	13813691	13815287	13815457
248	"ENSDARG00000102229"	"mapk8ip1a"	chr25	-	13821137	13821219	13816248	13817253	13833543	13833846
249	"ENSDARG00000060711"	"sv2bb"	chr25	-	11042365	11042454	11041648	11041813	11042536	11042650
250	"ENSDARG00000060711"	"sv2bb"	chr25	-	11057068	11057753	11046054	11046235	11088677	11088839
251	"ENSDARG00000102060"	NA	chr25	+	13793233	13793364	13792077	13792180	13795324	13795520
252	"ENSDARG00000102060"	NA	chr25	+	13795324	13795520	13792077	13792180	13796372	13796482
253	"ENSDARG00000055129"	"pim3"	chr25	+	29663045	29663155	29662410	29662803	29663248	29663299
254	"ENSDARG00000036671"	"tnni4b.2"	chr25	+	20091188	20091192	20091020	20091070	20091281	20091326
255	"ENSDARG00000045929"	"oaz2a"	chr25	+	6201139	6201225	6200525	6200698	6202595	6206443
256	"ENSDARG00000070903"	"met"	chr25	+	18612670	18612862	18587327	18588522	18623508	18623643
257	"ENSDARG00000070903"	"met"	chr25	+	18653597	18653747	18648498	18648717	18658573	18658730
258	"ENSDARG00000070903"	"met"	chr25	+	18660476	18660617	18658573	18658730	18662438	18662675
259	"ENSDARG00000110973"	"tln2b"	chr25	+	33068006	33068109	33067790	33067919	33073742	33073951
260	"ENSDARG00000110973"	"tln2b"	chr25	+	33078163	33078283	33073742	33073951	33079758	33079956
261	"ENSDARG00000110973"	"tln2b"	chr25	+	33121190	33121374	33118993	33119160	33121695	33121821
262	"ENSDARG00000078676"	"myrf"	chr25	-	3905004	3905092	3903274	3903337	3905836	3906064
263	"ENSDARG00000078676"	"myrf"	chr25	-	3908700	3908784	3906999	3907076	3908859	3908928
264	"ENSDARG00000078785"	"tmem258"	chr25	-	3891904	3892014	3890522	3890651	3892577	3892686
265	"ENSDARG00000090543"	"tmem138"	chr25	+	3880464	3880540	3875150	3875322	3880721	3884533
266	"ENSDARG00000001127"	"slc17a6a"	chr25	+	35268734	35268862	35266719	35266830	35270396	35271284
268	"ENSDARG00000070830"	"zgc:136858"	chr25	-	20038280	20038340	20038137	20038201	20043124	20043267
269	"ENSDARG00000075100"	"neo1b"	chr25	+	2968191	2968241	2962056	2962195	2974462	2974573
270	"ENSDARG00000075100"	"neo1b"	chr25	+	2972154	2972296	2968191	2968241	2974462	2974573
271	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3001179	3001388	3007561	3007708
272	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3001179	3001388	3008045	3008297
273	"ENSDARG00000075100"	"neo1b"	chr25	+	3007561	3007708	3001179	3001388	3008045	3008297
274	"ENSDARG00000075100"	"neo1b"	chr25	+	3007561	3007708	3005931	3006024	3008045	3008297
275	"ENSDARG00000021339"	"cpa5"	chr25	-	18463542	18463641	18463345	18463456	18465078	18465180
276	"ENSDARG00000021339"	"cpa5"	chr25	-	18466159	18466294	18465312	18465411	18467767	18467852
277	"ENSDARG00000103878"	"anpepb"	chr25	+	10818514	10818658	10818327	10818441	10818737	10818803
278	"ENSDARG00000103878"	"anpepb"	chr25	+	10820476	10820553	10819569	10819739	10821438	10821572
279	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10825573	10825741	10826834	10826916
280	"ENSDARG00000103878"	"anpepb"	chr25	+	10826834	10826916	10825827	10825968	10827258	10827771
281	"ENSDARG00000014866"	"hprt1l"	chr25	-	37081405	37081512	37078755	37078939	37083809	37084032
282	"ENSDARG00000018681"	"saal1"	chr25	-	8183651	8183824	8180904	8180997	8186533	8186704
283	"ENSDARG00000018681"	"saal1"	chr25	-	8186533	8186704	8183651	8183824	8188464	8188547
284	"ENSDARG00000018681"	"saal1"	chr25	-	8197579	8197764	8195817	8195919	8201846	8201983
285	"ENSDARG00000053636"	"cracr2b"	chr25	-	3850122	3850218	3849482	3849670	3851102	3851193
287	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26829609	26830166	26831697	26832174
288	"ENSDARG00000018061"	"neil1"	chr25	-	26831697	26832174	26830496	26830616	26833053	26833100
289	"ENSDARG00000070914"	"dusp6"	chr25	-	18328510	18328945	18326297	18327943	18329666	18330503
291	"ENSDARG00000079835"	"man2c1"	chr25	+	26816867	26816984	26816121	26816214	26817057	26817153
292	"ENSDARG00000079835"	"man2c1"	chr25	+	26817057	26817153	26816121	26816214	26817238	26817384
293	"ENSDARG00000045644"	"ca12"	chr25	+	26803886	26804044	26803740	26803804	26804774	26804901
294	"ENSDARG00000045644"	"ca12"	chr25	+	26805136	26805166	26804774	26804901	26807326	26807350
295	"ENSDARG00000045644"	"ca12"	chr25	+	26808515	26808597	26807326	26807350	26809836	26810914
296	"ENSDARG00000069673"	"chid1"	chr25	+	3788451	3788576	3788073	3788183	3788956	3789106
297	"ENSDARG00000069673"	"chid1"	chr25	+	3790216	3790349	3788956	3789106	3792935	3792980
298	"ENSDARG00000004059"	"galk2"	chr25	+	32395706	32395859	32394394	32394493	32396680	32396891
299	"ENSDARG00000067711"	"parvg"	chr25	+	5079054	5079107	5077158	5077274	5082591	5082693
300	"ENSDARG00000067711"	"parvg"	chr25	+	5083043	5083116	5082591	5082693	5084068	5084539
302	"ENSDARG00000089207"	"ankrd27"	chr25	+	36411602	36411725	36405020	36405152	36414341	36414452
